Publisher,search,Language,Title,Year,ISBN-13,Authors
,"Ammonite"" by Nichola Griffith",,,,9781858918815,
Random House,Ready Player One,en,Ready Player One,2011,9781446493830,Ernest Cline
,The Martian,,The Martian: a novel,,9780091956141,Andy Weir
Houghton Mifflin Harcourt,Earthsea books by Ursula K. LeGuin,,A wizard of earthsea,2012,9780547773742,Ursula K. Le Guin
Manhattan,Anathem - Stephenson,de,Anathem,2010,9783641044121,Neal Stephenson
Redhook,The First Fifteen Lives of Harry August by Claire North,en,The First Fifteen Lives Of Harry August,2014,9780316399616,Claire North
"Tusquets Editores, S.A.",1Q84 by Murakami,es,1Q84,2011,9788483832967,Haruki Murakami
,Kafka on the Shore by Murakami,,,,9788374950978,
Spectra,Cryptonomicon - stephenson,en,Snow Crash,2000,9780553380958,Neal Stephenson
,Welcome to Nightvale,,Welcome to Night Vale: a novel,,9780062351425,Joseph Fink
Flatiron Books,Jennifer Lawson's first book,,Furiously happy: {a funny book about horrible things},2016,9781250077004,Jenny Lawson
Image Comics,Saga series (graphic novels),,Saga,2012,9781607066019,Brian K. Vaughan
"Penguin USA, Inc.",Her Royal Spyness mystery series,,Her royal spyness,2009,9780425222522,Rhys Bowen
,Diamond Age - stephenson,,The diamond age,,9781455884278,Neal Stephenson
,The Palace Job (Rogues of the Republic Series) by Patrick Weekes,,The palace job,,9781477848203,Patrick Weekes
Daw Books,The InCryptid series by Seanan Macguire,,Discount Armageddon,2012,9780756407131,Seanan McGuire
Daw,October Daye series seanan macguire,,Rosemary and rue,2009,9780756405717,Seanan McGuire
,Allison Leotta's books about a sex crimes prosecutor,,The last good girl,,9781476761114,Allison Leotta
,The Apocolypse Triptych,,The end is nigh,,9781495471179,
DAW,The Kingkiller Chronicles by Patrick Rothfuss,,The name of the wind: the kingkiller chronicle: day one,2008,9780756404741,Patrick Rothfuss
,Beacon 23 by Hugh Howey,,Beacon 23,,9781516865871,Hugh Howey
